,station id,station latitude,station longitude,station name,year
0,72,40.76727216,-73.99392888,W 52 St & 11 Ave,2016
1,79,40.71911552,-74.00666661,Franklin St & W Broadway,2016
2,82,40.71117416,-74.00016545,St James Pl & Pearl St,2016
3,83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,2016
4,116,40.74177603,-74.00149746,W 17 St & 8 Ave,2016
5,119,40.69608941,-73.97803415,Park Ave & St Edwards St,2016
6,120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,2016
7,127,40.73172428,-74.00674436,Barrow St & Hudson St,2016
8,128,40.72710258,-74.00297088,MacDougal St & Prince St,2016
9,137,40.761628,-73.972924,E 56 St & Madison Ave,2016
10,143,40.69239502,-73.99337909,Clinton St & Joralemon St,2016
11,144,40.69839895,-73.98068914,Nassau St & Navy St,2016
12,146,40.71625008,-74.0091059,Hudson St & Reade St,2016
13,147,40.71542197,-74.01121978,Greenwich St & Warren St,2016
14,150,40.720873600000004,-73.98085795,E 2 St & Avenue C,2016
15,151,40.72210379,-73.99724901,Cleveland Pl & Spring St,2016
16,152,40.71473993,-74.00910627,Warren St & Church St,2016
17,153,40.75206231,-73.9816324,E 40 St & 5 Ave,2016
18,157,40.69089272,-73.99612349,Henry St & Atlantic Ave,2016
19,160,40.44535,-73.978238,E 37 St & Lexington Ave,2016
20,161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,2016
21,164,40.75323098,-73.97032517,E 47 St & 2 Ave,2016
22,167,40.7489006,-73.97604882,E 39 St & 3 Ave,2016
23,168,40.73971301,-73.99456405,W 18 St & 6 Ave,2016
24,173,40.76068327,-73.98452729,Broadway & W 49 St,2016
25,174,40.7381765,-73.97738662,E 25 St & 1 Ave,2016
26,195,40.70905623,-74.01043382,Liberty St & Broadway,2016
27,212,40.74334935,-74.00681753,W 16 St & The High Line,2016
28,216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,2016
29,217,40.70277159,-73.99383605,Old Fulton St,2016
30,224,40.71146364,-74.00552427,Spruce St & Nassau St,2016
31,225,40.74195138,-74.00803013,W 14 St & The High Line,2016
32,228,40.7546011,-73.97187886,E 48 St & 3 Ave,2016
33,229,40.72743423,-73.99379025,Great Jones St,2016
34,232,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,2016
35,236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,2016
36,237,40.73047309,-73.98672378,E 11 St & 2 Ave,2016
37,238,40.7361967,-74.00859207,Bank St & Washington St,2016
38,239,40.69196566,-73.9813018,Willoughby St & Fleet St,2016
39,241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,2016
40,242,40.697787,-73.973736,Carlton Ave & Flushing Ave,2016
41,243,40.688226,-73.979382,Fulton St & Rockwell Pl,2016
42,244,40.69196035,-73.96536851,Willoughby Ave & Hall St,2016
43,245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,2016
44,247,40.73535398,-74.00483091,Perry St & Bleecker St,2016
45,248,40.72185379,-74.00771779,Laight St & Hudson St,2016
46,249,40.71870987,-74.0090009,Harrison St & Hudson St,2016
47,251,40.72317958,-73.99480012,Mott St & Prince St,2016
48,252,40.73226398,-73.99852205,MacDougal St & Washington Sq,2016
49,253,40.73543934,-73.99453948,W 13 St & 5 Ave,2016
50,254,40.73532427,-73.99800419,W 11 St & 6 Ave,2016
51,255,40.646768,-74.01651,NYCBS Depot - SSP,2016
52,257,40.71939226,-74.00247214,Lispenard St & Broadway,2016
53,258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave,2016
54,259,40.70122128,-74.01234218,South St & Whitehall St,2016
55,260,40.70365182,-74.01167797,Broad St & Bridge St,2016
56,261,40.69474881,-73.98362464,Johnson St & Gold St,2016
57,262,40.6917823,-73.97372990000001,Washington Park,2016
58,263,40.71759082,-73.9962244,Elizabeth St & Hester St,2016
59,264,40.70706456,-74.00731853,Maiden Ln & Pearl St,2016
60,265,40.72229346,-73.99147535,Stanton St & Chrystie St,2016
61,266,40.72368361,-73.97574813,Avenue D & E 8 St,2016
62,267,40.75097711,-73.98765428,Broadway & W 36 St,2016
63,268,40.71910537,-73.99973337,Howard St & Centre St,2016
64,270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,2016
65,274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,2016
66,275,40.68650065,-73.96563307,Washington Ave & Greene Ave,2016
67,276,40.71748752,-74.0104554,Duane St & Greenwich St,2016
68,278,40.69766564,-73.98476437,Concord St & Bridge St,2016
69,279,40.707873,-74.00166999999999,Peck Slip & Front St,2016
70,280,40.73331967,-73.99510132,E 10 St & 5 Ave,2016
71,281,40.764397100000004,-73.97371465,Grand Army Plaza & Central Park S,2016
72,282,40.70764494,-73.96841526,Kent Ave & S 11 St,2016
73,284,40.73901691,-74.00263761,Greenwich Ave & 8 Ave,2016
74,285,40.73454567,-73.99074142,Broadway & E 14 St,2016
75,289,40.684568299999995,-73.95881081,Monroe St & Classon Ave,2016
76,291,40.713126,-73.984844,Madison St & Montgomery St,2016
77,295,40.71406667,-73.99293911,Pike St & E Broadway,2016
78,296,40.71413089,-73.99704679999999,Division St & Bowery,2016
79,297,40.734232,-73.986923,E 15 St & 3 Ave,2016
80,298,40.68683208,-73.9796772,3 Ave & Schermerhorn St,2016
81,301,40.72217444,-73.98368779,E 2 St & Avenue B,2016
82,302,40.72082834,-73.97793172,Avenue D & E 3 St,2016
83,303,40.72362738,-73.99949601,Mercer St & Spring St,2016
84,304,40.70463334,-74.01361706,Broadway & Battery Pl,2016
85,305,40.76095756,-73.96724467,E 58 St & 3 Ave,2016
86,306,40.70823502,-74.00530063,Cliff St & Fulton St,2016
87,307,40.71427487,-73.98990025,Canal St & Rutgers St,2016
88,308,40.71307916,-73.99851193,St James Pl & Oliver St,2016
89,309,40.7149787,-74.013012,Murray St & West St,2016
90,310,40.68926942,-73.98912867,State St & Smith St,2016
91,311,40.7172274,-73.98802084,Norfolk St & Broome St,2016
92,312,40.722055,-73.989111,Allen St & Stanton St,2016
93,313,40.69610226,-73.96751037,Washington Ave & Park Ave,2016
94,315,40.70355377,-74.00670227,South St & Gouverneur Ln,2016
95,316,40.70955958,-74.00653609,Fulton St & William St,2016
96,317,40.72453734,-73.98185424,E 6 St & Avenue B,2016
97,319,40.711065999999995,-74.009447,Fulton St & Broadway,2016
98,320,40.717571,-74.005549,Leonard St & Church St,2016
99,321,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,2016
100,322,40.696191999999996,-73.991218,Clinton St & Tillary St,2016
101,323,40.69236178,-73.98631746,Lawrence St & Willoughby St,2016
102,324,40.689888,-73.981013,DeKalb Ave & Hudson Ave,2016
103,325,40.73624527,-73.98473765,E 19 St & 3 Ave,2016
104,326,40.72953837,-73.98426726,E 11 St & 1 Ave,2016
105,327,40.715337899999994,-74.01658354,Vesey Pl & River Terrace,2016
106,328,40.72405549,-74.00965965,Watts St & Greenwich St,2016
