,station id,station latitude,station longitude,station name
0,72,40.76727216,-73.99392888,W 52 St & 11 Ave
1,79,40.71911552,-74.00666661,Franklin St & W Broadway
2,82,40.71117416,-74.00016545,St James Pl & Pearl St
3,83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl
4,116,40.74177603,-74.00149746,W 17 St & 8 Ave
5,119,40.69608941,-73.97803415,Park Ave & St Edwards St
6,120,40.68676793,-73.95928168,Lexington Ave & Classon Ave
7,127,40.73172428,-74.00674436,Barrow St & Hudson St
8,128,40.72710258,-74.00297088,MacDougal St & Prince St
9,143,40.69239502,-73.99337909,Clinton St & Joralemon St
10,144,40.69839895,-73.98068914,Nassau St & Navy St
11,146,40.71625008,-74.0091059,Hudson St & Reade St
12,150,40.720873600000004,-73.98085795,E 2 St & Avenue C
13,151,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St
14,157,40.69089272,-73.99612349,Henry St & Atlantic Ave
15,161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St
16,164,40.75323098,-73.97032517,E 47 St & 2 Ave
17,167,40.7489006,-73.97604882,E 39 St & 3 Ave
18,168,40.73971301,-73.99456405,W 18 St & 6 Ave
19,173,40.76068327096592,-73.98452728986742,Broadway & W 49 St
20,174,40.7381765,-73.97738662,E 25 St & 1 Ave
21,195,40.70905623,-74.01043382,Liberty St & Broadway
22,212,40.74334935,-74.00681753,W 16 St & The High Line
23,216,40.70037867,-73.99548059,Columbia Heights & Cranberry St
24,217,40.70277159,-73.99383605,Old Fulton St
25,223,40.73781509,-73.99994661,W 13 St & 7 Ave
26,224,40.71146364,-74.00552427,Spruce St & Nassau St
27,228,40.7546011026,-73.971878855,E 48 St & 3 Ave
28,229,40.72743423,-73.99379025,Great Jones St
29,236,40.7284186,-73.98713956,St Marks Pl & 2 Ave
30,237,40.73047309,-73.98672378,E 11 St & 2 Ave
31,238,40.7361967,-74.00859207,Bank St & Washington St
32,239,40.69196566,-73.9813018,Willoughby St & Fleet St
33,241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave
34,242,40.697787,-73.973736,Carlton Ave & Flushing Ave
35,243,40.68841,-73.979458,Fulton St & Rockwell Pl
36,244,40.69196035,-73.96536851,Willoughby Ave & Hall St
37,245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St
38,247,40.73535398,-74.00483091,Perry St & Bleecker St
39,248,40.72185379,-74.00771779,Laight St & Hudson St
40,249,40.71870987,-74.0090009,Harrison St & Hudson St
41,250,40.72456089,-73.99565293,Lafayette St & Jersey St
42,251,40.72317958,-73.99480012,Mott St & Prince St
43,252,40.73226398,-73.99852205,MacDougal St & Washington Sq
44,254,40.73532427,-73.99800419,W 11 St & 6 Ave
45,257,40.71939226,-74.00247214,Lispenard St & Broadway
46,258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave
47,259,40.70122128,-74.01234218,South St & Whitehall St
48,260,40.70365182,-74.01167797,Broad St & Bridge St
49,261,40.69474881,-73.98362464,Johnson St & Gold St
50,262,40.6917823,-73.97372990000001,Washington Park
51,264,40.70706456,-74.00731853,Maiden Ln & Pearl St
52,265,40.72229346,-73.99147535,Stanton St & Chrystie St
53,266,40.72368361,-73.97574813,Avenue D & E 8 St
54,267,40.75097711,-73.98765428,Broadway & W 36 St
55,268,40.71910537,-73.99973337,Howard St & Centre St
56,270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave
57,274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl
58,275,40.68650065,-73.96563307,Washington Ave & Greene Ave
59,276,40.71748752,-74.0104554,Duane St & Greenwich St
60,278,40.69766564,-73.98476437,Concord St & Bridge St
61,279,40.707873,-74.00166999999999,Peck Slip & Front St
62,280,40.73331967,-73.99510132,E 10 St & 5 Ave
63,281,40.764397100000004,-73.97371465,Grand Army Plaza & Central Park S
64,282,40.7076449441757,-73.96841526031494,Kent Ave & S 11 St
