,station id,station latitude,station longitude,station name
0,72.0,40.76727216,-73.99392888,W 52 St & 11 Ave
1,79.0,40.71911552,-74.00666661,Franklin St & W Broadway
2,82.0,40.71117416,-74.00016545,St James Pl & Pearl St
3,83.0,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl
4,119.0,40.69608941,-73.97803415,Park Ave & St Edwards St
5,120.0,40.68676793,-73.95928168,Lexington Ave & Classon Ave
6,127.0,40.73172428,-74.00674436,Barrow St & Hudson St
7,128.0,40.72710258,-74.00297088,MacDougal St & Prince St
8,143.0,40.69239502,-73.99337909,Clinton St & Joralemon St
9,144.0,40.69839895,-73.98068914,Nassau St & Navy St
10,146.0,40.71625008,-74.0091059,Hudson St & Reade St
11,150.0,40.720873600000004,-73.98085795,E 2 St & Avenue C
12,151.0,40.72210379,-73.99724901,Cleveland Pl & Spring St
13,157.0,40.69089272,-73.99612349,Henry St & Atlantic Ave
14,164.0,40.75323098,-73.97032517,E 47 St & 2 Ave
15,167.0,40.7489006,-73.97604882,E 39 St & 3 Ave
16,168.0,40.73971301,-73.99456405,W 18 St & 6 Ave
17,173.0,40.76068327,-73.98452729,Broadway & W 49 St
18,174.0,40.7381765,-73.97738662,E 25 St & 1 Ave
19,195.0,40.70905623,-74.01043382,Liberty St & Broadway
20,212.0,40.74334935,-74.00681753,W 16 St & The High Line
21,216.0,40.70037867,-73.99548059,Columbia Heights & Cranberry St
22,217.0,40.70277159,-73.99383605,Old Fulton St
23,223.0,40.73781509,-73.99994661,W 13 St & 7 Ave
24,228.0,40.7546011,-73.97187886,E 48 St & 3 Ave
25,229.0,40.72743423,-73.99379025,Great Jones St
26,232.0,40.69597683,-73.99014892,Cadman Plaza E & Tillary St
27,236.0,40.7284186,-73.98713956,St Marks Pl & 2 Ave
28,237.0,40.73047309,-73.98672378,E 11 St & 2 Ave
29,238.0,40.7361967,-74.00859207,Bank St & Washington St
30,239.0,40.69196566,-73.9813018,Willoughby St & Fleet St
31,241.0,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave
32,242.0,40.697787,-73.973736,Carlton Ave & Flushing Ave
33,243.0,40.688226,-73.979382,Fulton St & Rockwell Pl
34,244.0,40.69196035,-73.96536851,Willoughby Ave & Hall St
35,245.0,40.69327018,-73.97703874,Myrtle Ave & St Edwards St
36,247.0,40.73535398,-74.00483091,Perry St & Bleecker St
37,248.0,40.72185379,-74.00771779,Laight St & Hudson St
